iso,name,show
Termessos(Pisidia),Termessos (Pisidia),1
Thasos,Thasos,1
Thebes,Thebes,1
Thebes(Boetia),Thebes (Boetia),1
Thelpusa,Thelpusa,1
Themisonium(Phrygia),Themisonium (Phrygia),1
Thespiae,Thespiae,1
Thespiai(Boetia),Thespiai (Boetia),1
Thessalonica,Thessalonica,1
Thouria,Thouria,1
Thuria,Thuria,1
Thyatira,Thyatira,1
Thyrrheion(Akarnania),Thyrrheion (Akarnania),1
Tiberias,Tiberias,1
Ticinium,Ticinium,1
Ticinum,Ticinum,1
Tmolus,Tmolus,1
Tomis,Tomis,1
