period,Find.Territory,Source.Territory,Find.Site,Source.Site,sites.counts
Hellenistic,East,East,Susa,Spasinou Charax (Characene),18
Hellenistic,East,East,Susa,Susa,1183
Hellenistic,East,East,Susa,Syrinx (Hyrcania),2
Hellenistic,East,East,Tall She Hamad/Magdalu,Ecbatana,1
Hellenistic,East,East,Tall She Hamad/Magdalu,uncertain,1
Hellenistic,East,Southern Levant,Dura Europos,Jerusalem,35
Hellenistic,East,Syria,Dura Europos,Antioch,958
Hellenistic,East,Syria,Dura Europos,Apamea,19
Hellenistic,East,Syria,Dura Europos,Aradus,13
Hellenistic,East,Syria,Dura Europos,Damascus,9
Hellenistic,East,Syria,Dura Europos,Laodicea Ad Mare,3
Hellenistic,East,Syria,Dura Europos,Ptolemais,1
Hellenistic,East,Syria,Dura Europos,Samosata,1
Hellenistic,East,Syria,Dura Europos,Seleucia Pieria,5
Hellenistic,East,Syria,Dura Europos,Sidon,1
Hellenistic,East,Syria,Dura Europos,Tripolis,1
Hellenistic,East,Syria,Dura Europos,Tyre,31
Hellenistic,East,Syria,Nimrud,Antioch,12
Hellenistic,East,Syria,Nimrud,Apamea,1
Hellenistic,East,Syria,Nimrud,Aradus,1
Hellenistic,East,Syria,Nimrud,uncertain,1
Hellenistic,East,Syria,Seleucia Tigris,Antioch,1
Hellenistic,East,Syria,Seleucia Tigris,Seleucia Pieria,2
Hellenistic,East,Syria,Susa,Antioch,14
Hellenistic,East,Syria,Susa,Aradus,1
Hellenistic,East,Syria,Susa,Ptolemais,1
Hellenistic,East,Syria,Susa,Tyre,1
Hellenistic,Egypt,Africa,Alexandria,Cyrenaica,2
Hellenistic,Egypt,Africa,Alexandria,Cyrene,1
Hellenistic,Egypt,Africa,Saqqara,Cyrene,1
Hellenistic,Egypt,Anatolia,Alexandria,Chios (Ionia),2
Hellenistic,Egypt,Anatolia,Alexandria,Clazomenae,1
Hellenistic,Egypt,Anatolia,Alexandria,Cnidus,3
Hellenistic,Egypt,Anatolia,Alexandria,Colophon,1
